model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,189,189,0.893987641132698,0.0153972682926357,0.161128493844389,0.0592346678586862,43.776055995359,3.88723726491498,26.5561441340774,5.13698030533808,72.3764120463956,6.12105034575539,-4.27693236846759,1.40319221426711,15.8463158786696,5.83944504462569,6.9807525103658,69.1554361957567,Open AI RAG v3,,
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,structured,189,189,0.880589370689695,0.0152082269431474,0.10055162338205,0.0476444657977452,40.190678577315,4.31706219049868,26.0737595230183,5.17300811412849,74.9947158699988,5.72372670910716,-3.93711763044038,1.50758659098293,14.2368668704297,6.53397894402693,7.32056724839301,67.5459871875167,Open AI RAG v3,,
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,189,189,0.885237391663607,0.0163955324188685,0.116854617581787,0.0529238587093215,41.5042372737275,4.19395281791821,25.8446550419722,5.73914896006737,71.9633217362014,6.98176704549242,-4.42555190679487,1.49385760698413,15.8739032821669,6.22402603307083,6.83213297203852,69.1830235992539,Open AI RAG v3,,
llama3.2,v1,step 1 - simple prompt engineering,constraint,189,189,0.853160759128591,0.0111186940318554,0.0328070567929388,0.0207582988254406,34.2021644848234,3.31952168794659,31.1917135753329,9.7454328879804,69.4479093402711,10.2912273294577,-4.1903145231523,1.94181382328546,16.7515512324015,8.75008138582147,7.06737035568109,70.0606715494885,Simple Prompt v1,Simple Prompt v1,none
llama3.2,v1,step 1 - simple prompt engineering,structured,189,189,0.845028754895326,0.0113322324806485,0.0376326172793662,0.0230240521683888,34.1293199461396,3.20479603322852,26.8353888597438,6.87105804690458,64.7187244179606,13.8036044746933,-3.01580680220788,2.28081167234223,11.2593747015817,9.99872908464966,8.24187807662551,64.5684950186687,Simple Prompt v1,Simple Prompt v1,none
llama3.2,v1,step 1 - simple prompt engineering,zeroshot,189,189,0.849663699745501,0.0105230322786785,0.0321627410374018,0.0193658492533879,34.0368986227363,3.1793796750973,24.3047611801713,5.51674040751083,73.9136697599384,7.87463418114526,-3.40862123615854,1.89791823974218,14.5926444645229,8.67073244049492,7.84906364267485,67.9017647816099,Simple Prompt v1,Simple Prompt v1,none
llama3.2,v1,step 2 - RAG top k=3,constraint,40,40,0.795478187501431,0.00902332078099127,0.00280338004157874,0.00231534354877845,28.6233056534009,2.72306782326442,24.3571670293808,11.4390744326149,37.1557036205442,14.494808792133,2.41850345772108,4.83935266027462,-16.3688339431449,18.9520251049529,13.9707635868179,36.2700190747311,Open AI RAG v2,,
llama3.2,v2,step 1 - simple prompt engineering,constraint,189,188,0.85971869813635,0.0122602945559775,0.0333804191250878,0.0262662094047134,34.3057905908562,3.61505248058993,31.5513607491838,8.56233746957589,72.6426379209539,7.17137712972694,-3.9939111329211,2.05762901171841,15.0178300809426,9.1573851336072,7.27780966284186,68.2788042757086,Simple Prompt v2,Simple Prompt v2,none
llama3.2,v2,step 1 - simple prompt engineering,structured,189,189,0.859322782862123,0.0122991436881755,0.0407626521770159,0.0259257231237974,34.9449346575756,3.56356686356418,31.4311096504252,9.56216397699705,69.4367252256373,9.24069803960111,-3.63011426999049,1.92527435057381,12.9307822568811,8.71823755526151,7.62757060884291,66.2399025739681,Simple Prompt v2,Simple Prompt v2,none
llama3.2,v2,step 1 - simple prompt engineering,zeroshot,189,186,0.851166323628477,0.0164171081064052,0.031309926497056,0.0220164907991314,33.962222892433,3.75264191273807,31.1633120813677,10.5546673066143,65.6334683134228,13.4770538643138,-4.07160816608802,1.9489720939385,14.9105390867302,8.92543085269062,7.19145586268533,68.160800487269,Simple Prompt v2,Simple Prompt v2,none
